Image Name,Score w/ resizing 1,Score w/o resizing,matches w/resizing,matches w/o resizing
1941.10.png,89.44723618090453,80.33707865168539,890,1287
1941.11.png,97.55434782608695,93.02325581395348,718,920
1941.12.png,81.8577648766328,41.640625,564,533
1941.13.png,97.74436090225564,88.55218855218855,520,789
1941.14.png,98.4375,22.803257608229746,1008,532
1941.15.png,99.37733499377335,96.7860422405877,798,1054
1941.16.png,86.47845468053492,49.33541829554339,582,631
1941.17.png,96.88581314878893,85.81932773109243,560,817
1941.18.png,96.97478991596638,92.51844046364594,577,878
1941.19.png,89.20510304219823,78.41383422778772,909,1315
1941.2.png,98.85350318471338,95.67262464722484,776,1017
1941.20.png,98.5969387755102,95.75070821529745,773,1014
1941.21.png,69.25675675675676,54.80471171729696,615,884
1941.22.png,97.37762237762237,92.64864864864865,557,857
1941.23.png,97.64890282131663,90.58823529411765,623,924
1941.24.png,97.68875192604007,90.4296875,634,926
1941.25.png,97.339593114241,89.78599221789884,622,923
1941.26.png,97.68518518518519,90.625,633,928
1941.27.png,97.36842105263158,90.04237288135593,555,850
1941.28.png,95.39999999999999,94.36795994993741,477,754
1941.29.png,95.40918163672654,94.3609022556391,478,753
1941.3.png,97.15370018975332,92.65402843601895,512,782
1941.30.png,89.14572864321609,80.09981285090456,887,1284
1941.31.png,99.45429740791269,96.07250755287009,729,954
1941.32.png,66.28787878787878,71.30434782608695,350,656
1941.33.png,90.80118694362018,78.84733292458614,918,1286
1941.34.png,100.0,96.56218402426694,729,955
1941.35.png,98.58044164037855,93.61135758651287,625,1055
1941.4.png,97.55244755244755,96.04863221884499,558,948
1941.5.png,97.36379613356766,84.4994617868676,554,785
1941.6.png,97.08171206225681,83.52668213457076,499,720
1941.7.png,88.50931677018633,81.11615833874107,855,1250
1941.8.png,100.0,96.56218402426694,727,955
1941.9.png,100.0,96.91056910569105,327,596
